population,fertility,HIV,CO2,BMI_male,GDP,BMI_female,life,child_mortality
748096.00,2.74,1.20,2.07,23.68,5208.00,125.15,63.00,41.90
9705130.00,3.50,2.00,0.25,23.66,1600.00,125.35,61.70,83.30
7259470.00,3.27,0.80,1.19,25.11,4391.00,122.96,70.90,26.50
10050700.00,1.33,0.06,5.45,27.12,23334.00,128.70,73.80,7.20
310033.00,2.12,0.30,6.82,27.21,42294.00,118.74,82.00,2.70
1197070000.00,2.64,0.32,1.52,20.96,3901.00,123.13,64.40,65.60
235360800.00,2.48,0.20,1.76,21.86,7856.00,126.42,69.50,36.20
72530690.00,1.88,0.20,7.89,25.31,15955.00,125.19,76.90,21.40
4480145.00,2.00,0.20,9.88,27.65,47713.00,124.78,79.40,4.50
7093808.00,2.92,0.20,10.00,27.13,28562.00,121.08,80.90,4.90
59319230.00,1.39,0.30,7.47,26.48,37475.00,123.70,81.40,4.10
2717344.00,2.39,1.70,4.39,24.00,8951.00,125.37,75.50,18.90
127317900.00,1.34,0.06,9.54,23.50,34800.00,121.97,82.60,3.40
15915970.00,2.51,0.10,14.72,26.29,18797.00,128.85,66.10,25.90
38244440.00,4.76,6.30,0.27,21.59,2358.00,129.93,61.50,71.00
2144215.00,1.50,0.60,3.34,26.46,20977.00,129.57,72.30,10.50
4109389.00,1.57,0.10,4.00,27.20,14158.00,127.50,77.60,11.30
1972194.00,3.34,23.60,0.01,21.90,2041.00,131.14,45.20,114.20
3672782.00,5.19,1.60,0.16,21.90,588.00,131.26,61.00,100.90
3219802.00,1.42,0.10,4.50,26.86,23223.00,130.82,72.00,8.20
485079.00,1.63,0.30,22.17,27.43,95001.00,122.37,80.70,2.80
19926800.00,4.79,0.20,0.10,21.40,1528.00,132.84,63.40,66.70
13904670.00,5.78,11.20,0.08,22.03,674.00,133.94,51.40,101.10
27197420.00,2.05,0.50,7.75,24.73,19968.00,123.86,74.50,8.00
321026.00,2.38,0.06,3.28,23.22,12029.00,123.32,78.20,16.00
14223400.00,6.82,1.00,0.04,21.79,1602.00,128.03,55.80,148.30
406392.00,1.38,0.10,6.18,27.68,27872.00,124.16,81.40,6.60
3414552.00,4.94,0.70,0.61,22.62,3356.00,129.99,63.60,103.00
1238013.00,1.58,0.90,3.08,25.16,14615.00,130.88,72.10,15.80
114972800.00,2.35,0.30,4.26,27.42,15826.00,122.12,75.70,17.90
4111168.00,1.49,0.40,1.31,24.24,3890.00,129.94,69.60,17.60
2629666.00,2.37,0.06,3.76,24.88,7563.00,129.75,63.20,34.80
31350540.00,2.44,0.10,1.59,25.63,6091.00,126.53,73.30,35.80
22994870.00,5.54,11.40,0.10,21.94,864.00,135.39,55.00,114.40
51030010.00,2.05,0.60,0.19,21.45,2891.00,123.14,60.80,87.20
26325180.00,2.90,0.40,0.11,20.76,1866.00,125.56,68.60,50.70
16519860.00,1.77,0.20,10.53,26.02,47388.00,121.70,80.30,4.80
4285380.00,2.12,0.10,8.01,27.77,32122.00,118.74,80.20,6.40
5594524.00,2.72,0.20,0.78,25.77,4060.00,123.48,75.20,28.10
15085130.00,7.59,0.80,0.06,21.22,843.00,135.10,59.70,141.30
151115700.00,6.02,3.60,0.61,23.03,4684.00,135.49,58.00,140.90
4771633.00,1.96,0.10,10.53,26.93,65216.00,126.03,80.70,3.60
2652281.00,2.89,0.10,15.57,26.24,47799.00,126.89,74.60,11.90
163097000.00,3.58,0.10,0.94,22.30,4187.00,126.52,64.10,95.50
3498679.00,2.61,0.90,2.22,26.27,14033.00,122.68,77.10,21.00
6540267.00,4.07,0.90,0.53,25.02,1982.00,120.05,58.20,69.70
6047131.00,3.06,0.30,0.70,25.54,6684.00,123.62,73.60,25.70
28642048.00,2.58,0.40,1.45,24.77,9249.00,119.64,76.80,23.20
90297115.00,3.26,0.06,0.84,22.87,5332.00,122.35,69.40,33.40
38525752.00,1.33,0.10,8.27,26.67,19996.00,129.68,75.30,6.70
10577458.00,1.36,0.50,5.49,26.68,27747.00,127.26,79.20,4.10
1388962.00,2.20,0.06,48.70,28.13,126076.00,126.32,80.40,9.50
20741669.00,1.34,0.10,4.38,25.41,18032.00,128.76,73.40,16.10
143123163.00,1.49,1.00,11.98,26.01,22506.00,128.49,67.60,13.50
9750314.00,5.06,2.90,0.05,22.55,1173.00,135.10,62.20,78.30
12229703.00,5.11,0.80,0.46,21.93,2162.00,130.28,64.30,75.80
9109535.00,1.41,0.10,5.27,26.51,12522.00,130.38,76.40,8.00
5521838.00,5.13,1.60,0.12,22.53,1289.00,134.72,55.90,179.10
4849641.00,1.28,0.10,4.11,23.84,65991.00,121.17,80.90,2.80
5396710.00,1.31,0.06,6.90,26.93,24670.00,129.53,74.80,8.80
2030599.00,1.43,0.06,8.51,27.44,30816.00,129.92,78.50,3.70
9132589.00,7.06,0.60,0.07,21.97,615.00,131.53,56.70,168.50
50348811.00,2.54,17.90,9.43,26.86,12263.00,130.99,55.00,66.10
45817016.00,1.42,0.40,7.29,27.50,34676.00,122.05,81.10,5.00
19949553.00,2.32,0.06,0.58,21.97,6907.00,124.86,74.30,11.70
34470138.00,4.79,1.00,0.38,22.40,3246.00,129.72,67.40,84.70
506657.00,2.41,1.00,4.74,25.50,13470.00,124.64,69.10,26.40
1153750.00,3.70,25.90,0.95,23.17,5887.00,131.88,46.10,112.20
9226333.00,1.92,0.10,5.32,26.38,43421.00,122.95,81.10,3.20
7646542.00,1.47,0.40,5.33,26.20,55020.00,119.65,81.90,4.70
7254072.00,3.70,0.20,0.45,23.78,2001.00,129.97,69.50,56.20
42844744.00,5.54,5.80,0.15,22.48,2030.00,130.83,59.70,72.40
66453255.00,1.48,1.30,3.84,23.01,12216.00,120.50,74.10,15.60
6052937.00,4.88,3.20,0.25,21.88,1219.00,131.02,60.00,96.40
1315372.00,1.80,1.50,31.96,26.40,30875.00,124.99,71.30,24.90
10408091.00,2.04,0.06,2.44,25.16,9938.00,128.63,76.50,19.40
70344357.00,2.15,0.06,4.02,26.70,16454.00,124.07,75.10,22.20
31014427.00,6.34,6.40,0.10,22.36,1437.00,134.52,57.20,89.30
46028476.00,1.38,1.10,7.03,25.42,8762.00,131.50,68.20,12.90
61689620.00,1.87,0.20,8.53,27.39,37739.00,124.08,79.50,5.60
304473143.00,2.07,0.60,18.55,28.46,50384.00,118.48,78.20,7.70
3350832.00,2.11,0.50,2.49,26.39,15317.00,124.26,76.00,13.00
26952719.00,2.46,0.10,4.48,25.32,3733.00,124.35,68.70,49.20
86589342.00,1.86,0.40,1.48,20.92,4085.00,121.94,75.40,26.20
13114579.00,5.88,13.60,0.15,20.68,3039.00,132.45,52.00,94.90
13495462.00,3.85,15.10,0.65,22.03,1286.00,131.97,49.00,98.30
